Id,ORIG_FID,STATE_ROUT,pos,X,Y,pro_X,pro_Y,Index,Elevation
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.09450000000,41.51770000000,408673.00000000000,4596800.00000000000,1718,32070
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.10260000000,41.51770000000,407998.00000000000,4596810.00000000000,1719,32757
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.11070000000,41.51770000000,407324.00000000000,4596820.00000000000,1720,33147
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.11880000000,41.51770000000,406649.00000000000,4596840.00000000000,1721,32224
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.12690000000,41.51780000000,405975.00000000000,4596850.00000000000,1722,30643
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.13490000000,41.51780000000,405300.00000000000,4596860.00000000000,1723,31306
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.14300000000,41.51780000000,404626.00000000000,4596880.00000000000,1724,29544
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.15110000000,41.51790000000,403952.00000000000,4596890.00000000000,1725,29766
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78000000000,41.47170000000,434872.00000000000,4591410.00000000000,117,27710
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78000000000,41.47970000000,434876.00000000000,4592310.00000000000,118,28478
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78000000000,41.48780000000,434886.00000000000,4593210.00000000000,119,29629
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78010000000,41.49590000000,434890.00000000000,4594100.00000000000,120,29647
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78010000000,41.50400000000,434895.00000000000,4595000.00000000000,121,30127
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.78000000000,41.51210000000,434915.00000000000,4595900.00000000000,122,29459
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.77540000000,41.51870000000,435301.00000000000,4596630.00000000000,123,27291
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.77650000000,41.51770000000,435207.00000000000,4596520.00000000000,384,27677
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78060000000,41.51090000000,434857.00000000000,4595770.00000000000,385,29650
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78060000000,41.50280000000,434854.00000000000,4594870.00000000000,386,29929
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78050000000,41.49470000000,434854.00000000000,4593970.00000000000,387,29469
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78050000000,41.48660000000,434846.00000000000,4593070.00000000000,388,29478
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78050000000,41.47850000000,434838.00000000000,4592180.00000000000,389,28446
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.78050000000,41.47050000000,434832.00000000000,4591280.00000000000,390,27018
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.57410000000,41.49870000000,285150.00000000000,4597320.00000000000,950,37844
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.56600000000,41.49850000000,285824.00000000000,4597280.00000000000,951,38373
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.55790000000,41.49820000000,286497.00000000000,4597220.00000000000,952,38568
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.54980000000,41.49790000000,287171.00000000000,4597170.00000000000,953,40406
0,6,"STATE OF IOWA, I 80 W",I80W_left,-95.55670000000,41.49840000000,286596.00000000000,4597240.00000000000,1630,38882
0,6,"STATE OF IOWA, I 80 W",I80W_left,-95.56480000000,41.49870000000,285923.00000000000,4597290.00000000000,1631,38291
0,6,"STATE OF IOWA, I 80 W",I80W_left,-95.57290000000,41.49890000000,285249.00000000000,4597340.00000000000,1632,38001
0,6,"STATE OF IOWA, I 80 W",I80W_left,-95.58090000000,41.49860000000,284575.00000000000,4597330.00000000000,1633,36028
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.54180000000,41.49840000000,287845.00000000000,4597200.00000000000,954,38961
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.53370000000,41.49920000000,288519.00000000000,4597280.00000000000,955,36922
0,4,"STATE OF IOWA, I 80 E",I80E_left,-95.52570000000,41.50000000000,289193.00000000000,4597340.00000000000,956,37927
